L,method,budget,comparator,n,ppl_method,ppl_comparator,delta_mean,delta_sd,ci_lo,ci_hi,t_crit,t,p,d_z,primary,p_holm,sig
4096,normkv,0.05,full,20,41.31893255,10.21014615,31.108786399999996,21.609782751932386,20.995096752491165,41.22247604750883,2.093024054408263,6.4379509860366975,3.5877548740204454e-06,1.4395696040589854,True,3.5877548740204454e-06,***
4096,normkv,0.05,snapkv,20,41.31893255,12.102523999999999,29.216408550000004,20.666368978718747,19.544250139570117,38.88856696042989,2.093024054408263,6.322337092062926,4.55985495066087e-06,1.4137175514521048,True,4.55985495066087e-06,***
4096,normkv,0.05,sink_window,20,41.31893255,12.80481795,28.5141146,20.18363060939736,19.06788470094418,37.96034449905582,2.093024054408263,6.317941484138463,4.601770679379278e-06,1.4127346636399511,True,4.601770679379278e-06,***
4096,normkv,0.1,full,20,37.32827875,10.21014615,27.118132600000003,19.47797139576755,18.00216137894588,36.23410382105413,2.093024054408263,6.2263145051778235,5.571999832965223e-06,1.392246248287058,False,,
4096,normkv,0.1,snapkv,20,37.32827875,11.384962699999999,25.943316050000004,18.937071891439942,17.08049358939659,34.80613851060342,2.093024054408263,6.126714687689797,6.8684943503936065e-06,1.369975052042078,False,,
4096,normkv,0.1,sink_window,20,37.32827875,11.793757099999999,25.534521650000002,18.664263822722674,16.79937729574386,34.269666004256145,2.093024054408263,6.118315377950012,6.991144499144534e-06,1.3680969092878543,False,,
4096,normkv,0.2,full,20,26.639114799999998,10.21014615,16.428968649999995,12.459488960420249,10.597748319893498,22.26018898010649,2.093024054408263,5.896917733674665,1.1182998452205914e-05,1.3185908910220552,False,,
4096,normkv,0.2,snapkv,20,26.639114799999998,10.8353664,15.803748399999998,12.307549926306615,10.043637726756208,21.56385907324379,2.093024054408263,5.742532987198407,1.557310943541948e-05,1.2840694122410568,False,,
4096,normkv,0.2,sink_window,20,26.639114799999998,11.14868525,15.490429550000002,12.005888032592452,9.871500988882351,21.10935811111765,2.093024054408263,5.7701110289285475,1.4675510689264027e-05,1.2902360498405487,False,,
4096,normkv,0.5,full,20,16.7450311,10.21014615,6.53488495,4.914238363000747,4.234950599534258,8.834819300465742,2.093024054408263,5.946983395578565,1.0050589084226695e-05,1.3297859133576193,False,,
4096,normkv,0.5,snapkv,20,16.7450311,10.36357825,6.3814528500000005,4.909615791032193,4.083681929810254,8.679223770189747,2.093024054408263,5.81282241835457,1.3388798599456319e-05,1.299786606857554,False,,
4096,normkv,0.5,sink_window,20,16.7450311,10.55891655,6.18611455,4.8487327807114875,3.916837755746556,8.455391344253444,2.093024054408263,5.705644454331333,1.6862547170876278e-05,1.2758208855329556,False,,
4096,pyramidkv,0.05,full,20,12.834477149999998,10.21014615,2.624331,1.948536189681993,1.7123879917982703,3.53627400820173,2.093024054408263,6.0231701546356256,8.548570607750522e-06,1.3468217905813178,True,8.548570607750522e-06,***
4096,pyramidkv,0.05,snapkv,20,12.834477149999998,12.102523999999999,0.73195315,0.5116325428865478,0.49250174913584355,0.9714045508641566,2.093024054408263,6.397939390294141,3.897383107155466e-06,1.4306227392621258,True,3.897383107155466e-06,***
4096,pyramidkv,0.05,sink_window,20,12.834477149999998,12.80481795,0.029659200000000153,0.9230044784680419,-0.40232019311313855,0.4616385931131389,2.093024054408263,0.14370458411715792,0.8872469601071635,0.03213332187643017,True,0.8872469601071635,ns
4096,pyramidkv,0.1,full,20,11.94131825,10.21014615,1.7311720999999998,1.2891582438603677,1.127827469718357,2.3345167302816425,2.093024054408263,6.005497796390531,8.87506990543639e-06,1.342870131145442,False,,
4096,pyramidkv,0.1,snapkv,20,11.94131825,11.384962699999999,0.5563555499999999,0.30437338648520385,0.41390442019410956,0.6988066798058903,2.093024054408263,8.174491494313079,1.2146103178093413e-07,1.8278718662777877,False,,
4096,pyramidkv,0.1,sink_window,20,11.94131825,11.793757099999999,0.1475611499999998,0.846734279006688,-0.24872269098470517,0.5438449909847047,2.093024054408263,0.7793631849300305,0.44536559279108623,0.17427090606642878,False,,
4096,pyramidkv,0.2,full,20,11.266960350000002,10.21014615,1.0568142000000003,0.9759843109192836,0.6000394820499674,1.5135889179500333,2.093024054408263,4.8425130698284224,0.00011312267584106957,1.0828188406067538,False,,
4096,pyramidkv,0.2,snapkv,20,11.266960350000002,10.8353664,0.4315939499999999,0.37097230493343986,0.2579735669083504,0.6052143330916494,2.093024054408263,5.202940478539493,5.062834694603302e-05,1.163412859289959,False,,
4096,pyramidkv,0.2,sink_window,20,11.266960350000002,11.14868525,0.11827510000000016,0.7343513306478753,-0.22541190211683584,0.4619621021168362,2.093024054408263,0.7202851077079367,0.48011776143307583,0.16106064640157042,False,,
4096,pyramidkv,0.5,full,20,10.69012105,10.21014615,0.47997489999999976,0.7025383873099709,0.15117681367592328,0.8087729863240762,2.093024054408263,3.0553675735874797,0.006510827905774345,0.6832009590790195,False,,
4096,pyramidkv,0.5,snapkv,20,10.69012105,10.36357825,0.32654279999999963,0.5243027695695242,0.08116155051560425,0.571924049484395,2.093024054408263,2.7853062800435753,0.011794981465785321,0.6228134180334499,False,,
4096,pyramidkv,0.5,sink_window,20,10.69012105,10.55891655,0.13120449999999986,0.42902743016741063,-0.06958651806765997,0.3319955180676597,2.093024054408263,1.3676616473654857,0.1873789656477482,0.30581844137285724,False,,
4096,random,0.05,full,20,81.85196330000001,10.21014615,71.64181715000001,54.11862545253103,46.3135207825723,96.97011351742772,2.093024054408263,5.920178934312464,1.064140273230777e-05,1.3237922536084932,True,1.064140273230777e-05,***
4096,random,0.05,snapkv,20,81.85196330000001,12.102523999999999,69.7494393,53.76634570997465,44.58601492717858,94.91286367282143,2.093024054408263,5.801565481448038,1.3716254970503829e-05,1.2972694792434107,True,1.3716254970503829e-05,***
4096,random,0.05,sink_window,20,81.85196330000001,12.80481795,69.04714535000001,53.3320274434618,44.08698818287792,94.0073025171221,2.093024054408263,5.789920918291899,1.406364326636137e-05,1.2946656757648691,True,1.406364326636137e-05,***
4096,random,0.1,full,20,83.1388232,10.21014615,72.92867705,83.98457126622131,33.62268778040886,112.23466631959116,2.093024054408263,3.883415178152304,0.0009999787023550822,0.8683580323203007,False,,
4096,random,0.1,snapkv,20,83.1388232,11.384962699999999,71.75386049999999,83.85284131301674,32.509522746265596,110.99819825373439,2.093024054408263,3.826859226561006,0.0011378271223094858,0.8557117370912679,False,,
4096,random,0.1,sink_window,20,83.1388232,11.793757099999999,71.3450661,83.54723478663844,32.2437566033066,110.4463755966934,2.093024054408263,3.818975411124667,0.0011584911270566165,0.8539488623674961,False,,
4096,random,0.2,full,20,42.526831400000006,10.21014615,32.316685250000006,28.487132619120125,18.98429678665726,45.64907371334275,2.093024054408263,5.073329491783491,6.750881590271164e-05,1.1344309615882346,False,,
4096,random,0.2,snapkv,20,42.526831400000006,10.8353664,31.691464999999994,28.52705407507315,18.340392720145978,45.04253727985401,2.093024054408263,4.968215074719288,8.53509387470258e-05,1.1109266633911525,False,,
