L,method,budget,anchor_idx,anchor_offset,nll,ppl,kept_mean,kept_min,kept_max,seconds
8192,snapkv,0.05,0,52199,2.012622,7.482915,410.00,410,410,2.38
8192,snapkv,0.1,0,52199,1.974275,7.201398,819.00,819,819,1.57
8192,snapkv,0.2,0,52199,1.957547,7.081932,1638.00,1638,1638,1.58
8192,snapkv,0.5,0,52199,1.955476,7.067283,4096.00,4096,4096,1.62
8192,sink_window,0.05,0,52199,2.084966,8.044318,410.00,410,410,1.51
8192,sink_window,0.1,0,52199,2.035938,7.659430,819.00,819,819,1.52
8192,sink_window,0.2,0,52199,1.957910,7.084508,1638.00,1638,1638,1.53
8192,sink_window,0.5,0,52199,1.957635,7.082559,4096.00,4096,4096,1.58
8192,recency,0.05,0,52199,3.035372,20.808723,410.00,410,410,1.51
8192,recency,0.1,0,52199,2.523282,12.469449,819.00,819,819,1.52
8192,recency,0.2,0,52199,2.363015,10.622931,1638.00,1638,1638,1.53
8192,recency,0.5,0,52199,2.284883,9.824537,4096.00,4096,4096,1.58
8192,pyramidkv,0.05,0,52199,2.077602,7.985295,410.00,51,769,1.55
8192,pyramidkv,0.1,0,52199,1.984115,7.272605,819.00,71,1567,1.57
8192,pyramidkv,0.2,0,52199,1.955606,7.068203,1638.00,112,3164,1.58
8192,pyramidkv,0.5,0,52199,1.945251,6.995387,4096.00,235,7957,1.66
8192,normkv,0.05,0,52199,3.251858,25.838315,410.00,410,410,1.52
8192,normkv,0.1,0,52199,2.955509,19.211498,819.00,819,819,1.53
8192,normkv,0.2,0,52199,2.813997,16.676437,1638.00,1638,1638,1.54
8192,normkv,0.5,0,52199,2.326123,10.238171,4096.00,4096,4096,1.58
8192,tova,0.05,0,52199,1.991937,7.329714,410.00,410,410,1.55
8192,tova,0.1,0,52199,1.964708,7.132830,819.00,819,819,1.55
8192,tova,0.2,0,52199,1.951445,7.038851,1638.00,1638,1638,1.57
8192,tova,0.5,0,52199,1.955259,7.065746,4096.00,4096,4096,1.61
8192,random,0.05,0,52199,3.170458,23.818387,410.00,410,410,1.51
8192,random,0.1,0,52199,2.851331,17.310807,819.00,819,819,1.52
8192,random,0.2,0,52199,2.393643,10.953321,1638.00,1638,1638,1.53
8192,random,0.5,0,52199,2.101267,8.176524,4096.00,4096,4096,1.58
8192,full,1.0,0,52199,1.956335,7.073354,8192.00,8192,8192,1.64
8192,snapkv,0.05,1,62725,2.307678,10.051054,410.00,410,410,2.38
8192,snapkv,0.1,1,62725,2.255265,9.537823,819.00,819,819,1.57
8192,snapkv,0.2,1,62725,2.236312,9.358756,1638.00,1638,1638,1.58
8192,snapkv,0.5,1,62725,2.233941,9.336585,4096.00,4096,4096,1.64
8192,sink_window,0.05,1,62725,2.371772,10.716360,410.00,410,410,1.52
8192,sink_window,0.1,1,62725,2.247777,9.466663,819.00,819,819,1.52
8192,sink_window,0.2,1,62725,2.241913,9.411316,1638.00,1638,1638,1.54
8192,sink_window,0.5,1,62725,2.237279,9.367811,4096.00,4096,4096,1.58
8192,recency,0.05,1,62725,4.404603,81.826613,410.00,410,410,1.52
8192,recency,0.1,1,62725,4.209866,67.347518,819.00,819,819,1.52
8192,recency,0.2,1,62725,4.284630,72.575710,1638.00,1638,1638,1.54
8192,recency,0.5,1,62725,2.842578,17.159942,4096.00,4096,4096,1.58
8192,pyramidkv,0.05,1,62725,2.381504,10.821166,410.00,51,769,1.57
8192,pyramidkv,0.1,1,62725,2.317045,10.145652,819.00,71,1567,1.57
8192,pyramidkv,0.2,1,62725,2.247444,9.463515,1638.00,112,3164,1.59
8192,pyramidkv,0.5,1,62725,2.235391,9.350138,4096.00,235,7957,1.64
8192,normkv,0.05,1,62725,3.250554,25.804640,410.00,410,410,1.52
8192,normkv,0.1,1,62725,3.111765,22.460661,819.00,819,819,1.53
8192,normkv,0.2,1,62725,3.251884,25.838962,1638.00,1638,1638,1.54
8192,normkv,0.5,1,62725,2.583691,13.245940,4096.00,4096,4096,1.59
8192,tova,0.05,1,62725,2.362675,10.619325,410.00,410,410,1.55
8192,tova,0.1,1,62725,2.299490,9.969101,819.00,819,819,1.56
8192,tova,0.2,1,62725,2.240847,9.401292,1638.00,1638,1638,1.57
8192,tova,0.5,1,62725,2.234404,9.340912,4096.00,4096,4096,1.61
8192,random,0.05,1,62725,4.868781,130.162102,410.00,410,410,1.52
8192,random,0.1,1,62725,4.521235,91.949128,819.00,819,819,1.53
8192,random,0.2,1,62725,3.170004,23.807583,1638.00,1638,1638,1.54
8192,random,0.5,1,62725,2.540634,12.687708,4096.00,4096,4096,1.58
8192,full,1.0,1,62725,2.240695,9.399862,8192.00,8192,8192,1.65
8192,snapkv,0.05,2,73550,1.740837,5.702111,410.00,410,410,2.38
8192,snapkv,0.1,2,73550,1.639201,5.151051,819.00,819,819,1.56
8192,snapkv,0.2,2,73550,1.577244,4.841593,1638.00,1638,1638,1.58
8192,snapkv,0.5,2,73550,1.373701,3.949943,4096.00,4096,4096,1.63
8192,sink_window,0.05,2,73550,1.842712,6.313636,410.00,410,410,1.51
8192,sink_window,0.1,2,73550,1.588585,4.896815,819.00,819,819,1.52
8192,sink_window,0.2,2,73550,1.443880,4.237105,1638.00,1638,1638,1.53
8192,sink_window,0.5,2,73550,1.395757,4.038029,4096.00,4096,4096,1.58
8192,recency,0.05,2,73550,3.797559,44.592192,410.00,410,410,1.51
8192,recency,0.1,2,73550,3.299880,27.109386,819.00,819,819,1.52
8192,recency,0.2,2,73550,1.887769,6.604616,1638.00,1638,1638,1.53
8192,recency,0.5,2,73550,1.664002,5.280399,4096.00,4096,4096,1.58
8192,pyramidkv,0.05,2,73550,1.836076,6.271879,410.00,51,769,1.56
8192,pyramidkv,0.1,2,73550,1.811145,6.117451,819.00,71,1567,1.57
8192,pyramidkv,0.2,2,73550,1.684020,5.387170,1638.00,112,3164,1.58
8192,pyramidkv,0.5,2,73550,1.511180,4.532074,4096.00,235,7957,1.63
8192,normkv,0.05,2,73550,2.570262,13.069251,410.00,410,410,1.52
8192,normkv,0.1,2,73550,2.055318,7.809318,819.00,819,819,1.52
8192,normkv,0.2,2,73550,1.859263,6.419002,1638.00,1638,1638,1.54
8192,normkv,0.5,2,73550,1.568424,4.799077,4096.00,4096,4096,1.58
8192,tova,0.05,2,73550,1.798732,6.041980,410.00,410,410,1.54
8192,tova,0.1,2,73550,1.679549,5.363137,819.00,819,819,1.55
8192,tova,0.2,2,73550,1.506898,4.512711,1638.00,1638,1638,1.56
8192,tova,0.5,2,73550,1.390883,4.018397,4096.00,4096,4096,1.61
8192,random,0.05,2,73550,3.009620,20.279686,410.00,410,410,1.52
8192,random,0.1,2,73550,2.398916,11.011234,819.00,819,819,1.52
8192,random,0.2,2,73550,2.012990,7.485670,1638.00,1638,1638,1.53
8192,random,0.5,2,73550,1.520801,4.575890,4096.00,4096,4096,1.58
8192,full,1.0,2,73550,1.372882,3.946707,8192.00,8192,8192,1.65
8192,snapkv,0.05,3,91109,2.858613,17.437321,410.00,410,410,2.39
8192,snapkv,0.1,3,91109,2.724334,15.246264,819.00,819,819,1.57
8192,snapkv,0.2,3,91109,2.616889,13.693065,1638.00,1638,1638,1.59
8192,snapkv,0.5,3,91109,2.557016,12.897276,4096.00,4096,4096,1.64
8192,sink_window,0.05,3,91109,2.874803,17.721938,410.00,410,410,1.52
8192,sink_window,0.1,3,91109,2.705494,14.961708,819.00,819,819,1.52
8192,sink_window,0.2,3,91109,2.665836,14.379961,1638.00,1638,1638,1.54
8192,sink_window,0.5,3,91109,2.535073,12.617349,4096.00,4096,4096,1.58
8192,recency,0.05,3,91109,4.651115,104.701657,410.00,410,410,1.52
8192,recency,0.1,3,91109,4.289389,72.921875,819.00,819,819,1.52
8192,recency,0.2,3,91109,3.332932,28.020370,1638.00,1638,1638,1.54
8192,recency,0.5,3,91109,3.015413,20.397519,4096.00,4096,4096,1.58
8192,pyramidkv,0.05,3,91109,2.941064,18.935986,410.00,51,769,1.56
8192,pyramidkv,0.1,3,91109,2.870499,17.645819,819.00,71,1567,1.58
8192,pyramidkv,0.2,3,91109,2.713097,15.075891,1638.00,112,3164,1.59
8192,pyramidkv,0.5,3,91109,2.596420,13.415618,4096.00,235,7957,1.65
8192,normkv,0.05,3,91109,4.202336,66.842281,410.00,410,410,1.52
8192,normkv,0.1,3,91109,3.956545,52.276405,819.00,819,819,1.53
