L,method,budget,anchor_idx,anchor_offset,nll,ppl,kept_mean,kept_min,kept_max,seconds
4096,snapkv,0.05,0,8824,1.209463,3.351684,205.00,205,205,2.12
4096,snapkv,0.1,0,8824,1.137878,3.120141,410.00,410,410,1.75
4096,snapkv,0.2,0,8824,1.116958,3.055546,819.00,819,819,1.76
4096,snapkv,0.5,0,8824,1.063946,2.897783,2048.00,2048,2048,1.77
4096,sink_window,0.05,0,8824,1.307069,3.695328,205.00,205,205,1.76
4096,sink_window,0.1,0,8824,1.239426,3.453631,410.00,410,410,1.77
4096,sink_window,0.2,0,8824,1.156949,3.180215,819.00,819,819,1.75
4096,sink_window,0.5,0,8824,1.116305,3.053549,2048.00,2048,2048,1.76
4096,recency,0.05,0,8824,5.608874,272.836938,205.00,205,205,1.73
4096,recency,0.1,0,8824,5.270545,194.521949,410.00,410,410,1.74
4096,recency,0.2,0,8824,4.766261,117.479121,819.00,819,819,1.77
4096,recency,0.5,0,8824,4.382173,80.011677,2048.00,2048,2048,1.79
4096,pyramidkv,0.05,0,8824,1.235160,3.438928,205.00,41,369,1.76
4096,pyramidkv,0.1,0,8824,1.149292,3.155958,410.00,51,769,1.75
4096,pyramidkv,0.2,0,8824,1.121440,3.069269,819.00,71,1567,1.76
4096,pyramidkv,0.5,0,8824,1.056604,2.876586,2048.00,133,3963,1.79
4096,normkv,0.05,0,8824,1.324127,3.758903,205.00,205,205,1.79
4096,normkv,0.1,0,8824,1.293525,3.645615,410.00,410,410,1.75
4096,normkv,0.2,0,8824,1.202848,3.329588,819.00,819,819,1.75
4096,normkv,0.5,0,8824,1.118074,3.058956,2048.00,2048,2048,1.76
4096,tova,0.05,0,8824,1.192345,3.294799,205.00,205,205,1.76
4096,tova,0.1,0,8824,1.160447,3.191359,410.00,410,410,1.77
4096,tova,0.2,0,8824,1.090004,2.974285,819.00,819,819,1.77
4096,tova,0.5,0,8824,1.046881,2.848753,2048.00,2048,2048,1.78
4096,random,0.05,0,8824,4.587223,98.221296,205.00,205,205,1.74
4096,random,0.1,0,8824,6.521257,679.432167,410.00,410,410,1.74
4096,random,0.2,0,8824,6.601482,736.185696,819.00,819,819,1.76
4096,random,0.5,0,8824,4.428228,83.782814,2048.00,2048,2048,1.78
4096,full,1.0,0,8824,1.040322,2.830128,4096.00,4096,4096,1.80
4096,snapkv,0.05,1,23580,1.918781,6.812649,205.00,205,205,1.07
4096,snapkv,0.1,1,23580,1.870940,6.494396,410.00,410,410,0.51
