L,method,budget,comparator,n,ppl_method,ppl_comparator,delta_mean,delta_sd,ci_lo,ci_hi,t_crit,t,p,d_z,primary,p_holm,sig
4096,normkv,0.05,full,20,7.74415075,6.23913835,1.5050124,0.9907145182775592,1.0413437327967416,1.9686810672032584,2.093024054408263,6.793702870592792,1.734777524325954e-06,1.519118143758094,True,3.469555048651908e-06,***
4096,normkv,0.05,snapkv,20,7.74415075,7.051204399999999,0.6929463500000002,0.5862588403199492,0.41856876683923466,0.9673239331607657,2.093024054408263,5.28597621663066,4.214165320859232e-05,1.181980214783331,True,4.214165320859232e-05,***
4096,normkv,0.05,sink_window,20,7.74415075,7.7289354,0.015215349999999805,0.6944409747028464,-0.3097930305692162,0.3402237305692158,2.093024054408263,0.0979854534534324,0.9229701647140021,0.021910213472801636,True,0.9229701647140021,ns
4096,normkv,0.1,full,20,7.413203700000001,6.23913835,1.1740653499999998,0.8417887031695801,0.7800961097551035,1.568034590244896,2.093024054408263,6.237408325253356,5.44410109103279e-06,1.394726901868962,False,,
4096,normkv,0.1,snapkv,20,7.413203700000001,6.7693692,0.6438345,0.5125940284851984,0.4039331100241097,0.8837358899758903,2.093024054408263,5.617145843520725,2.042161088972788e-05,1.256031994564274,False,,
4096,normkv,0.1,sink_window,20,7.413203700000001,7.266461650000002,0.1467420499999998,0.5631207971443346,-0.11680659561821222,0.4102906956182118,2.093024054408263,1.1653812134861363,0.2582872313157777,0.26058716130561954,False,,
4096,normkv,0.2,full,20,7.028347850000001,6.23913835,0.7892095000000001,0.6607077361339206,0.4799887610562411,1.098430238943759,2.093024054408263,5.341926525076811,3.725585100053045e-05,1.1944910840880985,False,,
4096,normkv,0.2,snapkv,20,7.028347850000001,6.578421799999999,0.44992605000000035,0.39023779864906877,0.26728913830264434,0.6325629616973564,2.093024054408263,5.156164964699895,5.615804214964359e-05,1.1529535364271768,False,,
4096,normkv,0.2,sink_window,20,7.028347850000001,6.873289849999999,0.15505800000000008,0.5463475985076283,-0.10064054701449054,0.4107565470144907,2.093024054408263,1.2692294407525306,0.21968717344694152,0.28380833085667,False,,
4096,normkv,0.5,full,20,6.4957689,6.23913835,0.25663054999999996,0.21041684316699988,0.15815243604444534,0.35510866395555457,2.093024054408263,5.454348105087013,2.9113813608070344e-05,1.219629313592173,False,,
4096,normkv,0.5,snapkv,20,6.4957689,6.33803015,0.1577387499999999,0.16803370608550228,0.07909655478785603,0.23638094521214376,2.093024054408263,4.198140669543639,0.0004873794386107797,0.9387327916206056,False,,
